segment,anomaly,Signal_Health,train,channel,sampling,duration,Duration_Category,len,mean,var,Variance_Level,std,kurtosis,skew,n_peaks,Engineering_Priority,Peak_Complexity,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
1,1,Anomalous,1,CADC0872,1,279,Medium,280,8.533143499999998E-7,3.4942831557055196E-10,Low,1.8693001780627744E-5,0.6311173662492302,0.5520522696354365,4,High,Complex,3,2,4,6,1.2711755417075724E-10,2.9606660433502864E-10,279,280,1.2524312386041289E-12,1.2479582698948283E-12
2,1,Anomalous,1,CADC0872,1,476,Long,477,-3.639396266247381E-6,6.476484614528283E-10,Low,2.5448938316810553E-5,-1.2436105409484077,0.42563226494501544,1,High,Simple,1,1,5,8,1.4893834768968183E-12,3.004752494170574E-12,476,477,1.3606060114555216E-12,1.357753587951422E-12
3,1,Anomalous,1,CADC0872,1,594,Long,595,1.1707879512605042E-5,5.59287714097435E-10,Low,2.3649264557221118E-5,-0.28459255765001235,-0.8261874641934153,3,High,Moderate,2,2,2,3,4.1122802027893165E-12,1.0299180074673246E-11,594,595,9.4156180824484E-13,9.399793514242604E-13
4,1,Anomalous,1,CADC0872,1,271,Medium,272,8.486808235294126E-7,5.466023846614631E-10,Low,2.3379529179636255E-5,-0.8870884659002054,-0.13849795146794935,2,High,Moderate,2,2,3,6,2.4757597647001087E-11,6.240984572962386E-11,271,272,2.0169829692304914E-12,2.009567590667144E-12
5,0,Healthy,0,CADC0872,1,256,Medium,257,1.0584846070038911E-5,5.27902278315266E-10,Low,2.2976124092528443E-5,-1.4843933372949996,-0.060154878172477215,1,Low,Simple,1,1,78,87,5.547101361564531E-13,7.035422088489087E-13,256,257,2.0621182746690077E-12,2.054094468152786E-12
6,0,Healthy,1,CADC0872,1,252,Medium,253,6.326025494071145E-6,6.643179719118847E-10,Low,2.5774366566646883E-5,-1.3023085613490446,-0.179240113059536,1,Low,Simple,1,1,66,84,6.430575230937018E-13,7.268033028148551E-13,252,253,2.6361824282217647E-12,2.6257627348295838E-12
7,0,Healthy,0,CADC0872,1,379,Long,380,2.9907951973684204E-6,3.8437252690564615E-10,Low,1.9605420855101433E-5,-0.736378555471322,-0.0782942495914141,1,Medium,Simple,1,1,111,127,3.793821108523652E-13,6.80787912571573E-13,379,380,1.0141755327325755E-12,1.0115066497517003E-12
8,1,Anomalous,1,CADC0872,1,399,Long,400,1.5204373149999998E-6,1.652298873352987E-10,Low,1.2854177816387117E-5,-0.11148149809543373,0.5987550414758036,3,High,Moderate,3,2,1,2,1.989722057280419E-11,5.946671994860804E-11,399,400,4.141099933215506E-13,4.1307471833824674E-13
9,1,Anomalous,1,CADC0872,1,513,Long,514,4.1730009533073935E-7,1.73340145538637E-10,Low,1.316587048161408E-5,-0.8595242578461675,0.30599724210101786,1,High,Simple,1,1,4,2,1.1309735970453785E-12,2.510246914573329E-12,513,514,3.3789502054315203E-13,3.3723763723470235E-13
10,0,Healthy,1,CADC0872,1,316,Medium,317,4.411687239747634E-6,6.31100611241738E-10,Low,2.5121715929484952E-5,-1.2167116352009533,-0.1281759287096554,1,Low,Simple,1,1,97,104,5.293624016340368E-13,8.428462406968079E-13,316,317,1.997153833043475E-12,1.9908536632231484E-12
